[2019-07-21 13:05:20] [Info] Connect www.google.com:443
[2019-07-21 13:05:20] [Info] Connect www.google.com:443
[2019-07-21 13:05:20] [Info] Connect www.google.com:443
[2019-07-21 13:05:20] [Info] Disconnect www.google.com:443
[2019-07-21 13:05:21] [Info] Connect www.google.com:443
[2019-07-21 13:05:21] [Info] Connect www.google.com:443
[2019-07-21 13:05:21] [Info] Connect www.google.com:443
[2019-07-21 13:05:21] [Info] Disconnect www.google.com:443
[2019-07-21 13:05:22] [Info] Connect www.google.com:443
[2019-07-21 13:05:22] [Info] Connect www.google.com:443
[2019-07-21 13:05:22] [Info] Connect www.google.com:443
[2019-07-21 13:05:23] [Info] Disconnect www.google.com:443
[2019-07-21 13:05:28] [Info] Connect www.google.com:443
[2019-07-21 13:05:28] [Info] Connect www.google.com:443
[2019-07-21 13:05:28] [Info] Connect www.google.com:443
[2019-07-21 13:05:28] [Info] Disconnect www.google.com:443
[2019-07-21 13:05:36] [Info] Connect www.google.com:443
[2019-07-21 13:05:36] [Info] Connect www.google.com:443
[2019-07-21 13:05:36] [Info] Connect www.google.com:443
[2019-07-21 13:05:37] [Info] Disconnect www.google.com:443
[2019-07-21 13:05:37] [Info] Connect www.google.com:443
[2019-07-21 13:05:37] [Info] Connect www.google.com:443
[2019-07-21 13:05:37] [Info] Connect www.google.com:443
[2019-07-21 13:05:37] [Info] Disconnect www.google.com:443
[2019-07-21 13:05:44] [Info] Connect www.google.com:443
[2019-07-21 13:05:45] [Info] Connect www.google.com:443
[2019-07-21 13:05:45] [Info] Connect www.google.com:443
[2019-07-21 13:05:45] [Info] Disconnect www.google.com:443
[2019-07-21 13:05:45] [Info] Direct connect beacons.gcp.gvt2.com:443
[2019-07-21 13:05:46] [Info] Connect clients4.google.com:443
[2019-07-21 13:05:46] [Info] Connect clients4.google.com:443
[2019-07-21 13:05:46] [Info] Connect clients4.google.com:443
[2019-07-21 13:05:46] [Info] Disconnect clients4.google.com:443
[2019-07-21 13:06:35] [Info] Direct connect ocsp2.globalsign.com:80
[2019-07-21 13:06:43] [Info] Direct connect js1.pcfg.cache.wpscdn.cn:443
[2019-07-21 13:06:49] [Info] Direct connect ic.wps.cn:80
[2019-07-21 13:07:25] [Info] Direct connect js1.pcfg.cache.wpscdn.cn:443
[2019-07-21 13:07:30] [Info] Direct connect ic.wps.cn:80
[2019-07-21 13:08:06] [Info] Direct connect js1.pcfg.cache.wpscdn.cn:443
[2019-07-21 13:08:11] [Info] Direct connect ic.wps.cn:80
[2019-07-21 13:08:15] [Info] Direct connect driverupdate.lenovo.com.cn:80
[2019-07-21 13:09:41] [Info] Connect clients4.google.com:443
[2019-07-21 13:09:41] [Info] Connect clients4.google.com:443
[2019-07-21 13:09:41] [Info] Connect clients4.google.com:443
[2019-07-21 13:09:42] [Info] Disconnect clients4.google.com:443
[2019-07-21 13:09:47] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:09:47] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:09:47] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:09:47] [Info] Connect activity.windows.com:443
[2019-07-21 13:09:47] [Info] Disconnect raw.githubusercontent.com:443
[2019-07-21 13:09:47] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:09:47] [Info] Connect activity.windows.com:443
[2019-07-21 13:09:48] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:09:48] [Info] Connect activity.windows.com:443
[2019-07-21 13:09:48] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:09:48] [Info] Disconnect activity.windows.com:443
[2019-07-21 13:09:48] [Info] Disconnect raw.githubusercontent.com:443
[2019-07-21 13:09:48] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:09:48] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:09:48] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:09:49] [Info] Disconnect raw.githubusercontent.com:443
[2019-07-21 13:09:49] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:09:49] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:09:49] [Info] Connect raw.githubusercontent.com:443
[2019-07-21 13:09:49] [Info] Disconnect raw.githubusercontent.com:443
[2019-07-21 13:09:49] [Error] connect to update server error
[2019-07-21 13:11:11] [Info] Direct connect ic.wps.cn:80
[2019-07-21 13:11:11] [Info] Direct connect ic.wps.cn:80
[2019-07-21 13:11:18] [Info] Connect watson.telemetry.microsoft.com:443
